lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0068	1072.0	467.0	2060.0	1574.0	314.0	3095.0	4578.0	3151.0	1015.0	5204.0	2715.0	2931.0	1893.0	3081.0	622.0	1488.0	1685.0	746.0	1253.0	1324.0	4445.0	1211.0	4459.0	3731.0	711.0	5164.0	7587.0	5236.0	3806.0	4317.0	244.0	419.0	412.0	2400.0	84393.4	1139525.0	1199092.022668
sub-0069	1205.0	711.0	2323.0	1353.0	554.0	3355.0	5065.0	3786.0	976.0	5027.0	2502.0	2401.0	1868.0	3626.0	647.0	1444.0	2151.0	675.0	1393.0	1113.0	4012.0	1347.0	4645.0	4553.0	1054.0	5973.0	8389.0	6364.0	4414.0	5172.0	238.0	541.0	478.0	2859.0	92210.9	1245457.0	1367929.754538
sub-0070	1172.0	633.0	2184.0	1501.0	644.0	3632.0	5537.0	4178.0	960.0	5856.0	2797.0	3365.0	1874.0	3639.0	726.0	1512.0	1690.0	796.0	1588.0	1552.0	4802.0	1286.0	4673.0	4189.0	886.0	6879.0	7316.0	6014.0	3816.0	4883.0	285.0	478.0	381.0	2353.0	94076.5	1254884.0	1515870.740779
sub-0071	1068.0	557.0	1831.0	1311.0	387.0	2809.0	4382.0	3094.0	949.0	4466.0	2172.0	2668.0	1636.0	3058.0	594.0	1328.0	1493.0	619.0	1075.0	1297.0	4080.0	977.0	4289.0	4009.0	621.0	4186.0	5881.0	4949.0	3523.0	3948.0	223.0	436.0	389.0	1808.0	76100.1	995751.0	996939.894887
sub-0072	961.0	496.0	2305.0	1495.0	362.0	2610.0	4295.0	3294.0	1013.0	5113.0	2642.0	2970.0	1836.0	3188.0	558.0	1232.0	1280.0	718.0	1265.0	1235.0	4057.0	1094.0	4451.0	3254.0	712.0	4651.0	6864.0	4852.0	3571.0	3337.0	235.0	446.0	354.0	2105.0	78842.2	1064176.0	1209159.270659
sub-0073	969.0	619.0	1975.0	1214.0	316.0	3107.0	4676.0	3410.0	821.0	4452.0	2594.0	2337.0	1647.0	2842.0	653.0	1365.0	1420.0	629.0	1067.0	1210.0	4156.0	1060.0	4288.0	3473.0	820.0	4885.0	6965.0	5726.0	3973.0	3506.0	238.0	407.0	452.0	2329.0	79588.6	1066774.0	1181125.577119
sub-0074	1074.0	842.0	3107.0	1930.0	600.0	3715.0	5573.0	3813.0	1320.0	7003.0	3167.0	3840.0	2699.0	3882.0	577.0	1663.0	2162.0	854.0	1642.0	1878.0	4866.0	1250.0	5703.0	5251.0	1017.0	6804.0	8367.0	6331.0	5104.0	5272.0	275.0	492.0	604.0	2589.0	105261.0	1419259.0	1927938.576503
sub-0075	932.0	721.0	2238.0	1510.0	429.0	2686.0	5167.0	3137.0	971.0	4841.0	2344.0	2381.0	1615.0	2965.0	567.0	1479.0	1520.0	706.0	1393.0	1173.0	4241.0	1100.0	5006.0	3585.0	719.0	5417.0	6786.0	5659.0	3317.0	3586.0	244.0	477.0	370.0	2550.0	81824.6	1114210.0	1218916.034824
sub-0076	973.0	469.0	2012.0	1241.0	470.0	2897.0	4506.0	3117.0	849.0	4626.0	2281.0	2263.0	1646.0	2840.0	541.0	1193.0	1647.0	602.0	1246.0	987.0	3685.0	1031.0	4171.0	3514.0	511.0	4648.0	6467.0	5094.0	3352.0	3760.0	281.0	415.0	403.0	2167.0	75517.8	1002432.0	1163608.460349
sub-0077	842.0	491.0	1741.0	1361.0	361.0	2277.0	3488.0	2169.0	932.0	3853.0	2036.0	2592.0	1450.0	2219.0	639.0	1244.0	1429.0	569.0	1073.0	1238.0	3786.0	1074.0	4238.0	2824.0	526.0	4090.0	6297.0	4068.0	3455.0	3482.0	221.0	368.0	455.0	2001.0	68878.9	936290.0	1043849.929213
