lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0108	1085.0	746.0	1958.0	1589.0	386.0	3051.0	4949.0	4003.0	970.0	5587.0	2831.0	2436.0	1748.0	4023.0	631.0	1305.0	1654.0	768.0	1369.0	1156.0	3759.0	1135.0	4348.0	3616.0	812.0	5600.0	7477.0	4897.0	4389.0	3629.0	297.0	501.0	408.0	2116.0	85220.9	1160164.0	1350177.045694
sub-0109	936.0	633.0	3097.0	1280.0	432.0	3451.0	5167.0	3892.0	1033.0	5064.0	3472.0	2597.0	2008.0	3258.0	639.0	1348.0	2203.0	966.0	1736.0	1012.0	4256.0	1521.0	5324.0	4443.0	997.0	6769.0	9340.0	6479.0	4464.0	4788.0	253.0	513.0	513.0	2976.0	96858.6	1296342.0	1354077.331744
sub-0110	851.0	541.0	1674.0	1380.0	457.0	2808.0	4179.0	3385.0	889.0	5097.0	2680.0	2887.0	1685.0	3099.0	671.0	1296.0	1502.0	705.0	1811.0	1021.0	3665.0	1251.0	4288.0	3356.0	733.0	5324.0	7243.0	4863.0	3546.0	3686.0	264.0	480.0	440.0	2492.0	80241.3	1108490.0	1493648.760968
sub-0111	1315.0	647.0	2248.0	1453.0	482.0	3685.0	5517.0	4110.0	1224.0	6020.0	2859.0	3224.0	2009.0	4278.0	693.0	1382.0	1781.0	750.0	1605.0	1483.0	4039.0	947.0	5483.0	4361.0	910.0	6195.0	8534.0	4834.0	3945.0	4149.0	315.0	524.0	362.0	2586.0	93948.6	1300482.0	1746985.631958
sub-0112	1068.0	540.0	2174.0	1272.0	431.0	2538.0	4177.0	2574.0	1023.0	4034.0	2709.0	2558.0	1815.0	3000.0	583.0	1158.0	1415.0	667.0	1250.0	1359.0	3941.0	1050.0	4716.0	3305.0	683.0	5322.0	7032.0	4655.0	4085.0	4178.0	264.0	450.0	529.0	2276.0	78826.2	1085005.0	1342310.952564
sub-0113	771.0	561.0	2134.0	1502.0	370.0	3299.0	5289.0	3911.0	899.0	5319.0	2501.0	2402.0	1705.0	3876.0	718.0	1462.0	1813.0	784.0	1541.0	1129.0	3960.0	1324.0	5249.0	3836.0	753.0	5553.0	8545.0	4889.0	3723.0	3340.0	297.0	607.0	396.0	2443.0	86889.4	1208236.0	1399792.77733
sub-0114	1217.0	885.0	2365.0	1957.0	343.0	2962.0	5847.0	3557.0	1233.0	6258.0	2978.0	3833.0	2198.0	3789.0	708.0	1373.0	1641.0	766.0	1389.0	1941.0	4316.0	1442.0	5243.0	4239.0	1037.0	5899.0	7034.0	5547.0	4268.0	4420.0	251.0	443.0	485.0	2386.0	94170.6	1240480.0	1533023.828853
sub-0115	1218.0	622.0	2619.0	1424.0	585.0	3041.0	4515.0	3265.0	1005.0	5270.0	2624.0	2765.0	2097.0	3128.0	713.0	1434.0	1756.0	814.0	1281.0	1209.0	4044.0	1241.0	5104.0	4108.0	782.0	5828.0	7774.0	6005.0	4244.0	5017.0	243.0	558.0	526.0	2329.0	89185.6	1205597.0	1433892.850141
sub-0116	951.0	474.0	2314.0	1555.0	403.0	2514.0	3800.0	2755.0	768.0	4163.0	2264.0	3226.0	1936.0	3021.0	543.0	1205.0	1275.0	593.0	930.0	1645.0	3572.0	991.0	4237.0	3490.0	633.0	5069.0	6873.0	3980.0	3518.0	3428.0	256.0	421.0	365.0	1994.0	75154.5	1003763.0	1169503.2948
sub-0117	1214.0	774.0	2083.0	1557.0	449.0	3202.0	4545.0	3251.0	1010.0	5338.0	2667.0	2694.0	1827.0	3174.0	690.0	1514.0	1493.0	714.0	1491.0	1403.0	4078.0	1287.0	4441.0	4060.0	807.0	5411.0	8079.0	5692.0	3961.0	3598.0	273.0	396.0	354.0	2519.0	86039.1	1122850.0	1258326.402802
sub-0118	971.0	659.0	2831.0	1473.0	442.0	3447.0	5045.0	3521.0	907.0	5749.0	2813.0	2893.0	1996.0	3577.0	641.0	1345.0	1507.0	822.0	1215.0	1327.0	3841.0	1281.0	5112.0	4080.0	966.0	5422.0	7047.0	5892.0	4570.0	4506.0	235.0	514.0	428.0	2165.0	89085.6	1136134.0	1517204.068982
sub-0119	895.0	496.0	1968.0	1293.0	383.0	2768.0	4286.0	3275.0	822.0	4389.0	2061.0	2426.0	1556.0	2843.0	526.0	1232.0	1520.0	588.0	1261.0	1051.0	3454.0	1131.0	4369.0	3235.0	514.0	4569.0	6206.0	5256.0	3542.0	3830.0	240.0	467.0	400.0	1948.0	74794.4	973854.0	1142524.063905
sub-0120	1016.0	600.0	2967.0	1758.0	786.0	3749.0	5818.0	5068.0	1099.0	6299.0	3393.0	3298.0	2308.0	4050.0	785.0	1423.0	2105.0	883.0	1657.0	1445.0	5213.0	1674.0	5999.0	4867.0	1190.0	7140.0	9889.0	7850.0	4279.0	4531.0	264.0	564.0	579.0	2699.0	107220.0	1479125.0	2021513.328619
sub-0121	1106.0	707.0	1773.0	1660.0	412.0	3018.0	5606.0	3510.0	976.0	5098.0	2323.0	3025.0	1913.0	3470.0	588.0	1266.0	1380.0	641.0	1166.0	1376.0	3724.0	938.0	4339.0	3807.0	842.0	4919.0	6290.0	5583.0	3792.0	3580.0	242.0	437.0	368.0	2228.0	82094.2	1163472.0	1291139.433065
sub-0122	1147.0	664.0	2705.0	1745.0	441.0	3681.0	5056.0	4386.0	1650.0	5854.0	3135.0	3430.0	2220.0	4002.0	723.0	1283.0	1828.0	909.0	1660.0	1475.0	5002.0	1297.0	5428.0	5131.0	923.0	8147.0	8972.0	7762.0	4701.0	5873.0	301.0	532.0	657.0	2738.0	105451.0	1422809.0	1828096.093044
sub-0123	984.0	650.0	2354.0	1412.0	433.0	2991.0	4102.0	2941.0	947.0	5534.0	2299.0	3212.0	1591.0	3233.0	600.0	1175.0	1330.0	673.0	1059.0	1399.0	3733.0	925.0	4565.0	3333.0	900.0	5761.0	6677.0	4448.0	3525.0	2901.0	230.0	457.0	404.0	2105.0	78757.8	1056703.0	1202245.538042
sub-0124	1174.0	724.0	2501.0	1413.0	475.0	3892.0	5309.0	3575.0	885.0	5477.0	2950.0	2396.0	1815.0	3510.0	756.0	1620.0	1656.0	689.0	1195.0	1313.0	4776.0	1116.0	5359.0	3567.0	956.0	7770.0	7447.0	5239.0	4221.0	4605.0	295.0	535.0	498.0	2795.0	92497.5	1299341.0	1345933.806232
sub-0125	1217.0	721.0	2440.0	1648.0	570.0	3510.0	4695.0	3569.0	1098.0	4840.0	3199.0	2823.0	2030.0	3525.0	689.0	1514.0	1598.0	725.0	1330.0	1257.0	4168.0	1254.0	4784.0	4084.0	963.0	6419.0	8091.0	5690.0	4108.0	3918.0	268.0	595.0	399.0	2208.0	89948.3	1159048.0	1224828.909355
sub-0126	913.0	449.0	1935.0	1780.0	404.0	2820.0	4532.0	3597.0	975.0	5907.0	2370.0	2606.0	1864.0	3539.0	583.0	1235.0	1708.0	671.0	1450.0	1475.0	3398.0	1113.0	4010.0	3740.0	912.0	5139.0	7193.0	5398.0	3538.0	3682.0	303.0	418.0	404.0	2308.0	82359.4	1126415.0	1323515.101947
sub-0127	757.0	477.0	1865.0	1178.0	312.0	2587.0	3526.0	3388.0	945.0	4937.0	2214.0	2799.0	1582.0	2767.0	519.0	1201.0	1366.0	631.0	1364.0	1381.0	3239.0	1031.0	4693.0	2946.0	602.0	4861.0	7294.0	4556.0	3041.0	3541.0	248.0	398.0	319.0	1894.0	74460.2	1000164.0	991839.91259
sub-0128	1044.0	743.0	2324.0	1486.0	522.0	2757.0	4299.0	3045.0	876.0	5118.0	2608.0	2543.0	1831.0	3051.0	606.0	1255.0	1384.0	659.0	1183.0	1119.0	3585.0	1137.0	4570.0	2936.0	1057.0	5603.0	7054.0	4494.0	3896.0	3921.0	248.0	445.0	462.0	2270.0	80120.1	1053916.0	1228805.663373
sub-0129	1287.0	539.0	2173.0	1313.0	489.0	3472.0	5169.0	3454.0	954.0	4956.0	2933.0	2944.0	2093.0	3371.0	799.0	1405.0	1537.0	806.0	1431.0	1149.0	4189.0	1037.0	4814.0	3927.0	1136.0	5594.0	8025.0	5501.0	4388.0	4501.0	291.0	459.0	473.0	2357.0	88966.1	1210188.0	1294279.684841
sub-0130	777.0	496.0	2104.0	1305.0	370.0	2776.0	3778.0	2990.0	756.0	4467.0	2559.0	2902.0	1795.0	2791.0	620.0	1447.0	1298.0	619.0	1070.0	971.0	4183.0	969.0	4582.0	3542.0	769.0	4519.0	6575.0	5201.0	3400.0	3350.0	224.0	410.0	351.0	1996.0	75948.5	995249.0	1140354.943908
sub-0131	941.0	669.0	2277.0	1419.0	516.0	3059.0	4095.0	3680.0	960.0	5597.0	2831.0	3370.0	1967.0	3386.0	676.0	1648.0	1541.0	767.0	1500.0	1550.0	4546.0	1227.0	5453.0	4042.0	947.0	6042.0	8563.0	5226.0	4970.0	4324.0	277.0	563.0	498.0	2418.0	91543.8	1261640.0	1549175.205159
sub-0132	865.0	520.0	2250.0	1126.0	481.0	2776.0	4943.0	3410.0	790.0	4477.0	2392.0	2552.0	1461.0	2988.0	772.0	1294.0	1672.0	595.0	1173.0	916.0	3725.0	946.0	4334.0	4032.0	666.0	5350.0	6806.0	6631.0	2961.0	2992.0	229.0	436.0	321.0	1748.0	78626.5	999574.0	1050497.245751
sub-0133	981.0	644.0	2441.0	1517.0	482.0	3657.0	5203.0	4554.0	1024.0	6196.0	2758.0	2839.0	1874.0	3755.0	618.0	1353.0	1812.0	872.0	1295.0	1229.0	4336.0	1042.0	5068.0	4051.0	943.0	5826.0	7983.0	5381.0	4065.0	4257.0	277.0	547.0	405.0	2148.0	91307.2	1155186.0	1386889.12052
sub-0134	1014.0	621.0	1849.0	1510.0	515.0	2844.0	3584.0	3043.0	964.0	4514.0	2777.0	3073.0	1812.0	3054.0	746.0	1377.0	1402.0	676.0	1154.0	1576.0	3507.0	1045.0	4415.0	4414.0	946.0	4877.0	6737.0	4936.0	3850.0	3666.0	267.0	475.0	436.0	2180.0	79827.7	1114821.0	1128558.055114
sub-0135	1188.0	561.0	2148.0	1348.0	487.0	3423.0	5482.0	3622.0	1161.0	4967.0	2622.0	2746.0	1778.0	3549.0	684.0	1339.0	1472.0	693.0	1673.0	951.0	4574.0	1382.0	4834.0	3499.0	930.0	6385.0	7879.0	4652.0	3881.0	4160.0	245.0	583.0	370.0	2420.0	87666.5	1173922.0	1560089.559788
sub-0136	976.0	617.0	2106.0	1511.0	511.0	2894.0	4440.0	3538.0	1087.0	4586.0	2529.0	2982.0	1611.0	3461.0	617.0	1183.0	1503.0	752.0	1432.0	1362.0	4340.0	1179.0	4727.0	3554.0	807.0	5592.0	7562.0	4917.0	4010.0	3518.0	202.0	406.0	485.0	2124.0	83112.9	1150253.0	1416240.167867
sub-0137	1181.0	672.0	2301.0	1440.0	337.0	2835.0	4563.0	3032.0	1081.0	4634.0	2532.0	3025.0	1830.0	3417.0	656.0	1449.0	1635.0	775.0	1330.0	1458.0	3841.0	1081.0	4762.0	3615.0	913.0	5791.0	7429.0	4941.0	3936.0	4048.0	275.0	492.0	426.0	2439.0	83807.8	1157269.0	1311678.877331
sub-0138	917.0	654.0	2442.0	1413.0	420.0	3385.0	4365.0	2968.0	918.0	4594.0	2772.0	2880.0	1806.0	3018.0	595.0	1420.0	1771.0	680.0	1399.0	1356.0	3670.0	1170.0	4070.0	3851.0	712.0	5883.0	7240.0	6147.0	4329.0	4009.0	334.0	397.0	452.0	2393.0	84424.6	1113304.0	1262080.962009
sub-0139	958.0	528.0	2102.0	1457.0	441.0	3014.0	4605.0	2985.0	887.0	5091.0	2512.0	2923.0	1613.0	3064.0	612.0	1147.0	1819.0	645.0	1225.0	1501.0	3976.0	982.0	5035.0	3505.0	650.0	4915.0	6181.0	5059.0	3452.0	3262.0	264.0	437.0	382.0	2027.0	79255.3	1034354.0	1196970.534904
sub-0140	1126.0	689.0	2648.0	1309.0	352.0	3002.0	4857.0	3416.0	1070.0	4709.0	2600.0	2695.0	1792.0	3247.0	744.0	1350.0	1244.0	656.0	1080.0	1039.0	4325.0	1144.0	4983.0	3930.0	949.0	5770.0	7118.0	5930.0	4467.0	5451.0	260.0	421.0	424.0	2190.0	86971.7	1153558.0	1380956.920453
sub-0141	1003.0	591.0	2669.0	1401.0	416.0	3267.0	4266.0	3346.0	1061.0	5190.0	2540.0	2743.0	1733.0	3282.0	896.0	1432.0	1817.0	723.0	1519.0	969.0	4571.0	1257.0	4707.0	4324.0	860.0	6880.0	7881.0	6838.0	4075.0	5331.0	336.0	446.0	446.0	2312.0	91126.4	1169125.0	1500243.929005
sub-0142	1074.0	630.0	2586.0	1327.0	441.0	3218.0	4989.0	3370.0	998.0	5119.0	2624.0	3117.0	1844.0	3332.0	641.0	1455.0	2049.0	644.0	1509.0	1188.0	4335.0	1151.0	4775.0	4136.0	897.0	5590.0	7942.0	6025.0	3933.0	4135.0	248.0	451.0	525.0	2220.0	88516.7	1155332.0	1172995.662964
sub-0143	897.0	592.0	2084.0	1533.0	507.0	3110.0	4419.0	4027.0	880.0	4739.0	2574.0	3048.0	1702.0	3420.0	656.0	1341.0	1669.0	607.0	1409.0	1256.0	4155.0	1088.0	4513.0	3900.0	805.0	5363.0	6752.0	5741.0	3881.0	3618.0	266.0	530.0	532.0	2278.0	83871.8	1099919.0	1400353.421911
sub-0144	1173.0	639.0	2233.0	1734.0	560.0	3453.0	5024.0	4222.0	1054.0	5391.0	2587.0	2641.0	2113.0	3609.0	675.0	1480.0	1719.0	831.0	1527.0	1334.0	4817.0	1487.0	5028.0	4206.0	921.0	6845.0	8770.0	5747.0	4013.0	4848.0	278.0	557.0	404.0	2700.0	94617.9	1226259.0	1681085.659417
sub-0145	932.0	502.0	2513.0	1400.0	452.0	2765.0	4553.0	3815.0	922.0	4837.0	2488.0	3271.0	1599.0	3190.0	594.0	1230.0	1325.0	677.0	1143.0	1403.0	4173.0	999.0	4557.0	3600.0	659.0	5337.0	6544.0	5346.0	3726.0	3144.0	291.0	519.0	413.0	2095.0	80970.2	1071579.0	1299827.985789
sub-0146	799.0	388.0	1852.0	1701.0	325.0	2766.0	3998.0	3150.0	906.0	5097.0	2496.0	2967.0	1482.0	3128.0	602.0	1255.0	1353.0	688.0	1202.0	1637.0	3494.0	917.0	4094.0	3501.0	461.0	5813.0	6196.0	4914.0	3783.0	3983.0	261.0	351.0	456.0	2064.0	78065.1	1058927.0	1294601.842197
sub-0147	1114.0	761.0	2400.0	1431.0	569.0	2929.0	5355.0	3377.0	997.0	4666.0	2725.0	2424.0	2033.0	3502.0	583.0	1526.0	1364.0	727.0	1314.0	1171.0	4082.0	1288.0	4860.0	4216.0	800.0	5248.0	6978.0	5622.0	3699.0	4420.0	303.0	453.0	461.0	2567.0	85873.2	1136736.0	1241067.766693
sub-0148	768.0	525.0	2021.0	1191.0	368.0	2827.0	3938.0	2766.0	935.0	4889.0	2374.0	2651.0	1684.0	2908.0	629.0	1148.0	1382.0	657.0	1173.0	1193.0	3608.0	1258.0	5097.0	3525.0	830.0	4981.0	6111.0	5177.0	3542.0	4318.0	233.0	406.0	452.0	2148.0	77710.6	1099889.0	1371161.493702
sub-0149	917.0	529.0	2089.0	1673.0	422.0	3197.0	4159.0	3079.0	884.0	5195.0	2376.0	2911.0	1829.0	2868.0	636.0	1351.0	1487.0	769.0	1349.0	1281.0	4035.0	1050.0	4400.0	3716.0	835.0	5516.0	7526.0	5445.0	3441.0	3693.0	268.0	470.0	414.0	2118.0	81917.0	1083413.0	1075534.959018
sub-0150	813.0	467.0	1872.0	1412.0	373.0	3089.0	4188.0	2702.0	808.0	4950.0	1991.0	2619.0	1408.0	2602.0	612.0	1219.0	1134.0	549.0	1045.0	1138.0	3596.0	875.0	3994.0	3286.0	619.0	4658.0	6390.0	5184.0	3273.0	3172.0	196.0	463.0	321.0	1886.0	72898.8	979744.0	1171160.88029
sub-0151	1077.0	574.0	2147.0	1451.0	332.0	3397.0	4805.0	3348.0	855.0	5160.0	2599.0	2764.0	1915.0	3298.0	648.0	1568.0	1509.0	701.0	1348.0	1306.0	3560.0	1243.0	4670.0	3612.0	806.0	5126.0	6713.0	5077.0	4039.0	3731.0	254.0	481.0	442.0	2208.0	82758.0	1097082.0	1509962.151515
sub-0152	746.0	475.0	1970.0	1359.0	415.0	2535.0	3546.0	3170.0	817.0	4415.0	1953.0	2909.0	1559.0	2967.0	659.0	1157.0	1270.0	556.0	1079.0	1235.0	3528.0	1056.0	4123.0	3743.0	706.0	4828.0	5845.0	5178.0	3074.0	2620.0	216.0	477.0	345.0	1941.0	72466.0	963268.0	999643.89995
sub-0153	1000.0	623.0	2437.0	1384.0	473.0	2918.0	4799.0	3388.0	1070.0	4951.0	2438.0	2611.0	1930.0	3096.0	737.0	1388.0	1292.0	725.0	1288.0	1365.0	3622.0	1341.0	4357.0	3900.0	696.0	5331.0	7032.0	5144.0	3885.0	3652.0	257.0	479.0	406.0	2364.0	82372.3	1174849.0	1431686.192644
sub-0154	926.0	451.0	2070.0	1489.0	446.0	3161.0	4751.0	3650.0	668.0	5242.0	2417.0	2699.0	1630.0	3235.0	605.0	1250.0	1471.0	698.0	1440.0	1243.0	3715.0	904.0	4694.0	3378.0	771.0	5641.0	6355.0	5659.0	3744.0	3452.0	274.0	508.0	416.0	1946.0	80989.5	1124285.0	1408099.524744
sub-0155	1439.0	637.0	2355.0	1728.0	442.0	2901.0	5731.0	3886.0	1370.0	6022.0	3022.0	3484.0	1976.0	3737.0	740.0	1280.0	1858.0	776.0	1607.0	1680.0	4838.0	1357.0	4863.0	4295.0	812.0	5967.0	7587.0	5525.0	4001.0	5416.0	291.0	489.0	436.0	2448.0	94980.1	1296459.0	1725216.128586
sub-0156	1006.0	519.0	2106.0	1615.0	554.0	3029.0	4708.0	3467.0	1138.0	4974.0	2535.0	3629.0	1961.0	2935.0	554.0	1425.0	1899.0	735.0	1624.0	1791.0	4138.0	1266.0	4884.0	4067.0	686.0	5745.0	7420.0	5099.0	3584.0	5034.0	276.0	509.0	386.0	2428.0	87723.8	1132616.0	1523832.725016
sub-0157	800.0	795.0	2293.0	1946.0	397.0	3436.0	5381.0	3679.0	1102.0	5414.0	2609.0	3134.0	2041.0	3528.0	751.0	1351.0	1691.0	733.0	1156.0	1757.0	4452.0	1518.0	4981.0	4038.0	943.0	5902.0	8155.0	5947.0	4499.0	4327.0	302.0	408.0	502.0	2412.0	92322.9	1196794.0	1246740.565978
sub-0158	1316.0	572.0	2089.0	1212.0	445.0	3062.0	4748.0	2705.0	1048.0	4694.0	2714.0	2579.0	1515.0	3414.0	635.0	1388.0	1634.0	722.0	1320.0	1041.0	3836.0	1258.0	4699.0	3572.0	799.0	6040.0	7440.0	5304.0	4256.0	4411.0	309.0	434.0	447.0	2561.0	84206.4	1140746.0	1506750.044298
sub-0159	1162.0	865.0	2404.0	1642.0	386.0	4020.0	5845.0	4114.0	1050.0	5700.0	2811.0	2371.0	1808.0	4089.0	806.0	1604.0	1599.0	644.0	1455.0	1020.0	4281.0	1348.0	5430.0	4793.0	956.0	5612.0	7930.0	6458.0	4541.0	4770.0	252.0	515.0	473.0	2502.0	95253.4	1329475.0	1869415.720584
sub-0160	1314.0	799.0	2526.0	1254.0	417.0	3530.0	5205.0	4018.0	1032.0	6085.0	2579.0	2134.0	1822.0	3701.0	782.0	1410.0	1751.0	705.0	1386.0	1039.0	4132.0	1268.0	5696.0	3699.0	874.0	6580.0	8711.0	5286.0	5036.0	4300.0	300.0	435.0	583.0	2439.0	92825.4	1241604.0	1676307.142224
sub-0161	959.0	585.0	2350.0	1993.0	671.0	3274.0	3924.0	3407.0	1285.0	6299.0	2807.0	3285.0	1695.0	2975.0	745.0	1517.0	1610.0	832.0	1515.0	1736.0	4068.0	1192.0	5022.0	3839.0	891.0	6494.0	7617.0	4489.0	4331.0	3866.0	256.0	544.0	555.0	2312.0	88925.9	1247134.0	1602061.22089
sub-0162	1178.0	557.0	2142.0	1548.0	737.0	3117.0	4867.0	3250.0	1120.0	5096.0	2701.0	2514.0	1947.0	3036.0	625.0	1452.0	1914.0	768.0	1733.0	1392.0	4341.0	1218.0	4736.0	3358.0	1035.0	6113.0	8204.0	5029.0	4731.0	5056.0	320.0	552.0	594.0	2827.0	89792.9	1191848.0	1344554.555009
sub-0163	911.0	649.0	2876.0	1630.0	415.0	3147.0	4456.0	3701.0	1137.0	5250.0	2763.0	3020.0	2180.0	3212.0	623.0	1292.0	1612.0	713.0	1386.0	1411.0	3979.0	1239.0	5128.0	4214.0	755.0	6363.0	7513.0	5340.0	4490.0	4489.0	277.0	563.0	528.0	2285.0	89538.1	1183333.0	1294739.797538
sub-0164	861.0	421.0	2142.0	1461.0	375.0	3268.0	4416.0	3493.0	1055.0	5144.0	2345.0	2732.0	1464.0	3543.0	662.0	1272.0	1393.0	682.0	1232.0	1270.0	3988.0	1096.0	4456.0	3865.0	646.0	6579.0	6796.0	5151.0	3901.0	4730.0	310.0	454.0	478.0	2152.0	83786.0	1096547.0	1188231.934878
sub-0165	952.0	544.0	1931.0	1600.0	420.0	3077.0	4199.0	3151.0	868.0	5620.0	2258.0	3241.0	1612.0	2853.0	672.0	1236.0	1402.0	709.0	1278.0	1322.0	3488.0	898.0	4590.0	3337.0	587.0	5624.0	7215.0	4833.0	4005.0	3550.0	316.0	458.0	444.0	2118.0	80402.9	1078700.0	1483535.133
sub-0166	997.0	567.0	2026.0	1167.0	477.0	3141.0	4232.0	3408.0	936.0	5137.0	2510.0	2568.0	1629.0	2840.0	621.0	1286.0	1547.0	644.0	1367.0	1011.0	4362.0	1275.0	4636.0	3228.0	742.0	5315.0	6621.0	4572.0	3928.0	3640.0	286.0	469.0	511.0	2013.0	79702.0	1046479.0	1114885.546577
sub-0167	1049.0	718.0	3262.0	1439.0	430.0	3076.0	5374.0	3462.0	863.0	5307.0	2901.0	2595.0	1992.0	3324.0	821.0	1367.0	1534.0	771.0	1595.0	1097.0	4649.0	1144.0	5001.0	3573.0	897.0	6905.0	8734.0	5445.0	4363.0	4688.0	262.0	411.0	625.0	2523.0	92194.2	1262657.0	1396117.635519
sub-0168	1026.0	588.0	1865.0	1002.0	347.0	3203.0	5275.0	3229.0	917.0	4844.0	2368.0	2625.0	1478.0	2971.0	711.0	1405.0	1542.0	594.0	1389.0	996.0	4184.0	1126.0	4484.0	3773.0	588.0	5386.0	6449.0	5101.0	3656.0	3223.0	260.0	413.0	457.0	2003.0	79476.5	1070708.0	1068907.036454
sub-0169	876.0	565.0	2351.0	1547.0	576.0	3040.0	3483.0	3025.0	869.0	5410.0	2518.0	3074.0	1703.0	2757.0	607.0	1435.0	1504.0	651.0	1354.0	1329.0	3643.0	915.0	5141.0	3355.0	725.0	5305.0	7231.0	4920.0	3843.0	2978.0	239.0	451.0	491.0	2225.0	80126.9	1107565.0	1332878.998056
sub-0170	1032.0	535.0	2148.0	1212.0	339.0	2695.0	5068.0	3513.0	970.0	4380.0	2605.0	2605.0	1552.0	3673.0	558.0	1267.0	1637.0	719.0	1389.0	1018.0	4121.0	1219.0	5109.0	3431.0	702.0	6040.0	7700.0	5499.0	3471.0	3747.0	279.0	397.0	379.0	2312.0	83305.8	1053415.0	1088755.12353
sub-0171	838.0	379.0	1963.0	1232.0	456.0	2615.0	4242.0	2872.0	931.0	4132.0	2536.0	2840.0	1845.0	2678.0	593.0	1416.0	1484.0	607.0	1253.0	1190.0	3639.0	938.0	3663.0	3556.0	507.0	5215.0	6430.0	4819.0	3290.0	3027.0	257.0	459.0	331.0	2178.0	74400.9	1029824.0	1126175.098684
sub-0172	768.0	536.0	2450.0	1686.0	387.0	2688.0	3797.0	2813.0	949.0	4683.0	2531.0	2774.0	1878.0	2798.0	567.0	1165.0	1331.0	647.0	1154.0	1552.0	3860.0	1070.0	4968.0	3775.0	773.0	5431.0	7510.0	4953.0	3710.0	3923.0	242.0	431.0	513.0	2275.0	80497.6	1106757.0	1180936.690315
sub-0173	1008.0	565.0	2005.0	1633.0	444.0	3184.0	4514.0	3194.0	817.0	5351.0	2974.0	3022.0	1888.0	3122.0	580.0	1261.0	1678.0	726.0	1203.0	1456.0	3709.0	1039.0	4801.0	4350.0	799.0	5468.0	6873.0	6200.0	4295.0	4722.0	283.0	476.0	585.0	2381.0	86602.2	1183561.0	1364461.961894
sub-0174	1143.0	478.0	2433.0	1416.0	472.0	2909.0	4351.0	3198.0	878.0	4343.0	2566.0	3137.0	1803.0	3245.0	584.0	1316.0	1987.0	664.0	1554.0	1252.0	3534.0	1147.0	4217.0	3466.0	574.0	5270.0	6597.0	5729.0	3890.0	4030.0	248.0	433.0	488.0	2197.0	81537.6	1108649.0	1250543.228796
sub-0175	957.0	631.0	2521.0	1642.0	391.0	3002.0	4373.0	3300.0	1111.0	6147.0	2130.0	3024.0	1856.0	2859.0	703.0	1288.0	1588.0	599.0	1085.0	1407.0	3951.0	1182.0	5212.0	3234.0	670.0	5695.0	7882.0	4662.0	4098.0	4557.0	280.0	486.0	515.0	2210.0	85235.5	1203609.0	1397912.491468
sub-0176	1035.0	543.0	2178.0	1359.0	636.0	3193.0	4972.0	3693.0	871.0	5859.0	2517.0	2758.0	1863.0	3487.0	726.0	1422.0	1758.0	734.0	1461.0	1025.0	3840.0	1190.0	4396.0	3945.0	899.0	6301.0	7168.0	5333.0	3990.0	3660.0	323.0	478.0	404.0	2165.0	86178.8	1161984.0	1515596.878423
sub-0177	1143.0	532.0	2653.0	1455.0	379.0	3412.0	5156.0	3625.0	1490.0	5344.0	2943.0	3489.0	1824.0	3780.0	830.0	1359.0	1502.0	775.0	1359.0	1574.0	4171.0	1111.0	5235.0	3994.0	783.0	7077.0	7648.0	6004.0	4600.0	5911.0	258.0	547.0	439.0	2620.0	95008.2	1336472.0	1462053.042068
sub-0178	931.0	533.0	1849.0	1419.0	529.0	3016.0	5086.0	3573.0	1098.0	5041.0	2772.0	2567.0	2057.0	3119.0	663.0	1281.0	1961.0	787.0	1478.0	1231.0	3589.0	1136.0	3975.0	4260.0	817.0	6506.0	7592.0	5965.0	4432.0	3905.0	260.0	528.0	473.0	2317.0	86739.0	1232195.0	1382342.680047
sub-0179	903.0	541.0	2320.0	1461.0	467.0	2658.0	4292.0	2684.0	773.0	4781.0	2425.0	2914.0	1767.0	2758.0	547.0	1464.0	1287.0	670.0	1039.0	1283.0	3883.0	936.0	4763.0	3668.0	628.0	5096.0	7406.0	4739.0	3356.0	2997.0	244.0	457.0	416.0	2135.0	77745.1	1018270.0	1122713.412136
sub-0180	1089.0	656.0	2934.0	1598.0	484.0	2981.0	4411.0	3492.0	738.0	5119.0	2635.0	2739.0	2074.0	3380.0	558.0	1293.0	1787.0	670.0	1155.0	1390.0	3490.0	1044.0	5801.0	3090.0	914.0	5474.0	7996.0	4003.0	4034.0	3213.0	267.0	502.0	441.0	2135.0	83587.0	1182803.0	1344093.40582
